Altium Designer Pick and Place Locations
C:\Users\kevin.cotton\OneDrive - Cégep Limoilou\_Cours-TGE\243-436-Dev-Prod4-Certifications\Projet de fin de session\243-436-PCB-SuiveurDeLigne-7capteurs\.\Generate Files\Pick Place\243-4xx-Suiveur-IR-7.csv

========================================================================================================================
File Design Information:

Date:       21-02-26
Time:       12:29
Revision:   7e30b6a25f4bc42dff40b7da3276b8dd89504f27
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"MT2","","TopLayer","MTHOLE","57.7850","15.2400","0",""
"MT1","","TopLayer","MTHOLE","31.1150","15.2400","0",""
"JP1","0705430108","TopLayer","MOLEX4","44.4500","26.6700","180","CONN HEADER VERT 4POS 2.54MM"
"C9","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","85.5440","3.5900","180","Capacitor type 1"
"C8","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","73.0688","3.8288","180","Capacitor type 1"
"C7","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","60.8000","3.6000","180","Capacitor type 1"
"C6","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","48.5270","3.5560","180","Capacitor type 1"
"C5","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","36.1547","3.8100","180","Capacitor type 1"
"C4","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","23.6858","3.6779","180","Capacitor type 1"
"C3","CAP CER 100nF 50V 0603","TopLayer","C_1608[0603]","11.3800","3.5260","180","Capacitor type 1"
"C2","CAP CER 100nF 50V 0603","BottomLayer","C_1608[0603]","43.9000","22.9000","180","Capacitor type 1"
"C1","CAP CER 4.7uF 25V X7R 0805","BottomLayer","C_2012[0805]","25.3000","16.3000","270","Capacitor type 1"
"Q8","HXY2101EI","BottomLayer","SOT-323","11.0533","6.6040","90","MOSFET P-CH 20V 1.8A SOT-323"
"Q7","HXY2101EI","BottomLayer","SOT-323","23.4351","6.6040","90","MOSFET P-CH 20V 1.8A SOT-323"
"Q6","HXY2101EI","BottomLayer","SOT-323","35.8169","6.8580","90","MOSFET P-CH 20V 1.8A SOT-323"
"Q5","HXY2101EI","BottomLayer","SOT-323","48.1986","6.6040","90","MOSFET P-CH 20V 1.8A SOT-323"
"Q4","HXY2101EI","BottomLayer","SOT-323","60.5805","6.6610","90","MOSFET P-CH 20V 1.8A SOT-323"
"Q3","HXY2101EI","BottomLayer","SOT-323","72.9622","6.8580","90","MOSFET P-CH 20V 1.8A SOT-323"
"Q2","HXY2101EI","BottomLayer","SOT-323","85.3440","6.8580","90","MOSFET P-CH 20V 1.8A SOT-323"
"Q1","HXY2101EI","BottomLayer","SOT-323","25.6000","12.2000","270","MOSFET P-CH 20V 1.8A SOT-323"
"U5","ITR1502SR40A/TR8","BottomLayer","GP2S700HCP","30.8600","5.4040","180","PHOTOINTERRUPTER REFLECTIVE 3MM SMD"
"U4","ITR1502SR40A/TR8","BottomLayer","GP2S700HCP","43.2930","5.2640","180","PHOTOINTERRUPTER REFLECTIVE 3MM SMD"
"U3","ITR1502SR40A/TR8","BottomLayer","GP2S700HCP","55.6728","5.1370","180","PHOTOINTERRUPTER REFLECTIVE 3MM SMD"
"U2","ITR1502SR40A/TR8","BottomLayer","GP2S700HCP","68.0560","5.2640","180","PHOTOINTERRUPTER REFLECTIVE 3MM SMD"
"U6","ITR1502SR40A/TR8","BottomLayer","GP2S700HCP","18.5288","5.1500","180","PHOTOINTERRUPTER REFLECTIVE 3MM SMD"
"U1","ITR1502SR40A/TR8","BottomLayer","GP2S700HCP","80.4378","5.2640","180","PHOTOINTERRUPTER REFLECTIVE 3MM SMD"
"U7","ITR1502SR40A/TR8","BottomLayer","GP2S700HCP","6.1470","5.1500","180","PHOTOINTERRUPTER REFLECTIVE 3MM SMD"
"U8","PCF8574T/TR","BottomLayer","SOIC127P1030X265-16N","43.8150","16.5100","180","Remote 8-bit I/O expander for I2C-bus"
"R14","Res 150R 1% 0805","BottomLayer","R_2012[0805]","2.2000","4.9000","270","Resistor type 1"
"R13","Res 150R 1% 0805","BottomLayer","R_2012[0805]","14.6000","4.9000","270","Resistor type 1"
"R12","Res 150R 1% 0805","BottomLayer","R_2012[0805]","26.8188","5.1040","270","Resistor type 1"
"R11","Res 150R 1% 0805","BottomLayer","R_2012[0805]","39.2648","4.9640","270","Resistor type 1"
"R10","Res 150R 1% 0805","BottomLayer","R_2012[0805]","51.7971","4.9869","270","Resistor type 1"
"R9","Res 150R 1% 0805","BottomLayer","R_2012[0805]","64.1568","4.9640","270","Resistor type 1"
"R8","Res 150R 1% 0805","BottomLayer","R_2012[0805]","76.4540","4.9140","270","Resistor type 1"
"R25","Res 1k 1% 0603","BottomLayer","R_1608[0603]","53.5000","20.3000","270","Resistor type 1"
"R24","Res 1k 1% 0603","TopLayer","R_1608[0603]","6.0000","9.0000","0","Resistor type 1"
"R23","Res 1k 1% 0603","TopLayer","R_1608[0603]","18.0000","9.0000","0","Resistor type 1"
"R22","Res 1k 1% 0603","TopLayer","R_1608[0603]","30.0000","8.9000","0","Resistor type 1"
"R17","Res 1k 1% 0603","BottomLayer","R_1608[0603]","51.9000","20.3000","90","Resistor type 1"
"R21","Res 1k 1% 0603","TopLayer","R_1608[0603]","42.0000","9.0000","0","Resistor type 1"
"R20","Res 1k 1% 0603","TopLayer","R_1608[0603]","55.0000","9.0000","0","Resistor type 1"
"R19","Res 1k 1% 0603","TopLayer","R_1608[0603]","68.0000","9.0000","0","Resistor type 1"
"R18","Res 1k 1% 0603","TopLayer","R_1608[0603]","80.0000","9.0000","0","Resistor type 1"
"R16","Res 2k2 1% 0402","BottomLayer","R_1005[0402]","36.3000","19.4000","180","Resistor type 1"
"R15","Res 2k2 1% 0402","BottomLayer","R_1005[0402]","36.2798","17.8701","180","Resistor type 1"
"R7","Res 30k 1% 0603","BottomLayer","R_1608[0603]","11.4100","3.5560","180","Resistor type 1"
"R6","Res 30k 1% 0603","BottomLayer","R_1608[0603]","23.6858","3.6779","180","Resistor type 1"
"R5","Res 30k 1% 0603","BottomLayer","R_1608[0603]","36.1547","3.8100","180","Resistor type 1"
"R4","Res 30k 1% 0603","BottomLayer","R_1608[0603]","48.5270","3.5560","180","Resistor type 1"
"R3","Res 30k 1% 0603","BottomLayer","R_1608[0603]","60.8000","3.6000","180","Resistor type 1"
"R2","Res 30k 1% 0603","BottomLayer","R_1608[0603]","73.0688","3.8288","180","Resistor type 1"
"R1","Res 30k 1% 0603","BottomLayer","R_1608[0603]","85.5440","3.5900","180","Resistor type 1"
"D7","XL-3216SURC-FB","TopLayer","LED_1206","6.0450","5.4610","180","DEL Rouge 1206"
"D6","XL-3216SURC-FB","TopLayer","LED_1206","18.4910","5.4610","180","DEL Rouge 1206"
"D5","XL-3216SURC-FB","TopLayer","LED_1206","30.8100","5.4610","180","DEL Rouge 1206"
"D4","XL-3216SURC-FB","TopLayer","LED_1206","43.2560","5.4610","180","DEL Rouge 1206"
"D3","XL-3216SURC-FB","TopLayer","LED_1206","55.7020","5.4610","180","DEL Rouge 1206"
"D2","XL-3216SURC-FB","TopLayer","LED_1206","68.0210","5.4610","180","DEL Rouge 1206"
"D1","XL-3216SURC-FB","TopLayer","LED_1206","80.3150","5.4610","180","DEL Rouge 1206"
